P homeless,P exit,P undetected,Simulation,# Consecutive,# Episodic,# Chronic,# Ever Homeless,# Undetected Chronic,Frac Undetected Chronic,Wall Time (s),Episodic as % Chronic
0.005,0.0025,0.0125,1,13988,84,14072,19910,7,0.08333333333333333,3.7786845179999986,0.005969300739056282
0.005,0.005,0.0075,1,9870,1290,11160,19918,169,0.1310077519379845,3.575395261000004,0.11559139784946236
0.005,0.0075,0.0025,1,6481,3991,10472,19904,1112,0.2786269105487347,3.4838539789999956,0.38111153552330024
0.005,0.0075,0.005,1,7232,3413,10645,19920,599,0.17550542045121595,3.612455578999999,0.32062000939408175
0.005,0.005,0.01,1,9964,1108,11072,19928,102,0.09205776173285199,3.933285139000006,0.10007225433526011
0.005,0.0075,0.0075,1,7241,3139,10380,19920,417,0.1328448550493788,3.9318399150000047,0.30240847784200386
0.005,0.005,0.0125,1,10060,1111,11171,19911,90,0.081008100810081,4.353719204999997,0.09945394324590458
0.005,0.01,0.0025,1,4945,5322,10267,19915,1320,0.2480270574971815,3.830949233999995,0.5183597935131976
0.005,0.0075,0.01,1,7242,2937,10179,19923,294,0.10010214504596528,4.24641184,0.28853521956970235
0.005,0.01,0.005,1,5546,4787,10333,19916,761,0.1589722164194694,4.109729229000003,0.4632730088067357
0.005,0.0075,0.0125,1,7225,2825,10050,19909,259,0.09168141592920354,4.698211015999995,0.2810945273631841
0.005,0.01,0.0075,1,5391,4789,10180,19908,584,0.12194612653998747,4.373185739999997,0.47043222003929275
0.0075,0.0025,0.0025,1,14429,560,14989,19994,181,0.32321428571428573,2.4952079420000004,0.037360731202882115
0.005,0.01,0.01,1,5360,4588,9948,19941,471,0.10265911072362685,4.347461756000001,0.4611982308001608
0.005,0.0125,0.0025,1,4024,6108,10132,19895,1267,0.20743287491814014,4.0455763619999985,0.6028424792735886
0.0075,0.0025,0.005,1,15023,393,15416,19992,65,0.16539440203562342,2.803325744999995,0.025492994291645043
0.005,0.0125,0.005,1,4420,5871,10291,19911,870,0.1481859989780276,4.279824909999995,0.5704984938295599
0.005,0.01,0.0125,1,5396,4473,9869,19915,434,0.09702660406885759,4.746160323000005,0.45323741007194246
0.005,0.0125,0.0075,1,4357,5824,10181,19918,705,0.12105082417582418,4.344896292000001,0.5720459679795697
0.0075,0.0025,0.0075,1,15242,252,15494,19994,34,0.1349206349206349,3.2623968560000023,0.016264360397573254
0.005,0.0125,0.01,1,4073,5757,9830,19901,621,0.10786868160500261,4.503461365999996,0.5856561546286877
0.0075,0.005,0.0025,1,10367,3661,14028,19992,1164,0.31794591641627973,3.4630577520000045,0.26097804391217566
0.0075,0.0025,0.01,1,15444,190,15634,19994,17,0.08947368421052632,3.827235403000003,0.012152999872073685
0.005,0.0125,0.0125,1,3920,5820,9740,19921,620,0.10652920962199312,4.738007532999994,0.5975359342915811
0.0075,0.005,0.005,1,11472,2753,14225,19993,538,0.1954231747184889,3.592210469000001,0.19353251318101933
0.0075,0.0025,0.0125,1,15406,207,15613,19996,9,0.043478260869565216,4.289450197000001,0.013258182283994108
